title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,5,223,0.1135,0.6000,0.3770,0.2959,0.2203,1.0000
0,0,0,5,224,0.0297,0.2000,0.2173,0.1437,0.0993,0.5000
0,0,0,5,225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,226,0.0159,0.0000,0.0000,0.1396,0.1211,0.0667
0,0,0,5,227,0.1179,0.5000,0.5746,0.3499,0.2272,1.0000
0,0,0,5,228,0.0142,0.1000,0.0804,0.0973,0.1043,0.2500
0,0,0,5,229,0.0840,0.5000,0.5549,0.2811,0.2297,1.0000
0,0,0,5,230,0.0178,0.3000,0.2214,0.1232,0.1095,0.2500
0,0,0,5,231,0.0328,0.1000,0.0354,0.1651,0.2372,0.2000
0,0,0,5,232,0.1260,0.6000,0.7059,0.2811,0.1474,1.0000
0,0,0,5,233,0.0055,0.0000,0.0000,0.0807,0.0613,0.0455
0,0,0,5,234,0.0554,0.3000,0.2738,0.2008,0.1618,0.5000
0,0,0,5,235,0.0119,0.1000,0.1067,0.0920,0.0663,0.1667
0,0,0,5,236,0.0752,0.5000,0.4450,0.2329,0.1820,1.0000
0,0,0,5,237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,238,0.0333,0.2000,0.1521,0.1268,0.0944,0.5000
0,0,0,5,239,0.0432,0.4000,0.2244,0.1601,0.1312,1.0000
0,0,0,5,240,0.0005,0.0000,0.0000,0.0210,0.0246,0.0400
0,0,0,5,241,0.0013,0.0000,0.0000,0.0476,0.0947,0.0161
0,0,0,5,242,0.0019,0.0000,0.0000,0.0334,0.0240,0.0435
0,0,0,5,243,0.0089,0.1000,0.0713,0.0680,0.0772,0.5000
0,0,0,5,244,0.0530,0.2000,0.0884,0.1661,0.1384,0.1111
0,0,0,5,245,0.0023,0.0000,0.0000,0.0240,0.0000,0.0204
0,0,0,5,246,0.0022,0.0000,0.0000,0.0387,0.0506,0.0714
0,0,0,5,247,0.0008,0.0000,0.0000,0.0195,0.0226,0.0189
0,0,0,5,248,0.0014,0.0000,0.0000,0.0320,0.0250,0.0263
0,0,0,5,249,0.0073,0.0000,0.0000,0.1012,0.1085,0.0303
0,0,0,5,250,0.0050,0.1000,0.0353,0.0271,0.0375,0.1000
0,0,0,5,251,0.0023,0.0000,0.0000,0.0330,0.0327,0.0588
0,0,0,5,252,0.0437,0.6000,0.2937,0.1169,0.0714,1.0000
0,0,0,5,253,0.0260,0.4000,0.1766,0.0888,0.0640,0.5000
0,0,0,5,254,0.0002,0.0000,0.0000,0.0104,0.0211,0.0045
0,0,0,5,255,0.0006,0.0000,0.0000,0.0237,0.0000,0.0032
