schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 330 0.2413 0.8000 0.7084 0.6648 0.2140 0 '1111111001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 336 0.4716 0.8000 0.4566 0.7238 0.4518 0 '0121111012' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 341 0.0899 0.2000 0.1513 0.4358 0.0993 0 '0000200010' 0.2000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 344 0.0816 0.5000 0.2696 0.3098 0.1227 0 '0110100210' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 345 0.0374 0.1000 0.0708 0.3019 0.0123 0 '0000000010' 0.1111
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 347 0.1570 0.5000 0.6325 0.5253 0.1915 0 '2220220000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 353 0.0338 0.0000 0.0000 0.2619 0.0000 0 '0000000000' 0.0312
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 354 0.1068 0.7000 0.7788 0.3901 0.2861 0 '2222200022' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 362 0.4028 1.0000 0.8621 0.6847 0.4468 0 '2122221221' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 363 0.1056 0.5000 0.5958 0.4243 0.1539 0 '2202020002' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 367 0.0653 0.0000 0.0000 0.3721 0.0769 0 '0000000000' 0.0588
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 372 0.0822 0.2000 0.1490 0.4524 0.0753 0 '0100000001' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 374 0.6002 0.6000 0.4953 0.8540 0.7640 0 '2000011222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 375 0.2634 0.5000 0.5573 0.7218 0.1868 0 '1010110001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 378 0.1321 0.0000 0.0000 0.5116 0.1109 0 '0000000000' 0.0625
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 383 0.0874 0.3000 0.2369 0.3563 0.1457 0 '0000222000' 0.2000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 389 0.1504 0.6000 0.2989 0.4577 0.1891 0 '0001111110' 0.2500
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 393 0.0392 0.0000 0.0000 0.2606 0.0713 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 394 0.4844 1.0000 1.0000 0.7601 0.4638 0 '1111111111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 397 0.0436 0.3000 0.2785 0.2225 0.1105 0 '0100001010' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 399 0.3057 1.0000 0.9306 0.5506 0.4397 0 '2122222222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 401 0.0620 0.1000 0.1389 0.3924 0.0752 0 '0200000000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 404 0.2415 0.6000 0.3718 0.5607 0.3730 0 '1110010021' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 408 0.1142 0.2000 0.2751 0.4801 0.0925 0 '2010000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 409 0.3594 0.7000 0.5239 0.7332 0.3864 0 '0210122220' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 416 0.4514 0.7000 0.5630 0.8120 0.4371 0 '2211001011' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 419 0.1462 0.3000 0.3188 0.4539 0.1592 0 '0202200000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 426 0.1124 0.0000 0.0000 0.3792 0.2342 0 '0000000000' 0.0833
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 427 0.2780 0.8000 0.7168 0.5775 0.3118 0 '1220202222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.1_k1.2 0.1 433 0.1541 0.4000 0.4834 0.3987 0.1605 0 '2210000200' 1.0000
